schemaname,table_name,estimated_rows,total_size
storage,objects,248,592 kB
public,store_product_stock,418,264 kB
public,circuit_results,300,232 kB
public,tournament_run_matches_fp,219,176 kB
public,loyalty_transactions,489,168 kB
public,store_orders,15,168 kB
public,tournament_run_matches,232,168 kB
public,tournament_registrations,283,168 kB
public,tournament_run_turns,202,136 kB
public,tournament_runs,32,136 kB
public,store_products,31,128 kB
public,users,203,120 kB
public,store_product_sizes,139,112 kB
public,circuit_points_rules,39,112 kB
public,tournament_run_group_pairs,109,112 kB
public,store_product_colors,90,96 kB
public,tournaments,42,96 kB
public,reward_redemptions,51,96 kB
auth,users,0,96 kB
public,tournament_run_groups,31,96 kB
auth,one_time_tokens,0,88 kB
public,tournament_run_pairs,109,88 kB
public,tournament_run_participants,140,88 kB
public,communications,1,80 kB
public,loyalty_memberships,93,80 kB
storage,migrations,68,72 kB
public,communication_user_states,0,72 kB
public,medical_certificates,105,72 kB
auth,refresh_tokens,0,64 kB
public,circuits,2,64 kB
public,circuit_ranking_groups,5,64 kB
public,store_lines,2,64 kB
public,store_categories,5,64 kB
auth,custom_oauth_providers,0,56 kB
auth,mfa_factors,0,56 kB
public,tournament_run_bracket_slots,0,56 kB
public,rewards_catalog,27,48 kB
public,staff_users,8,48 kB
auth,oauth_consents,0,48 kB
auth,sessions,0,48 kB
public,store_product_costs,31,48 kB
public,admin_push_subscriptions,4,48 kB
public,reward_categories,5,48 kB
storage,buckets,5,48 kB
public,store_order_items,15,48 kB
auth,identities,0,40 kB
auth,saml_relay_states,0,40 kB
auth,oauth_authorizations,0,40 kB
auth,flow_state,0,40 kB
auth,sso_providers,0,32 kB
auth,sso_domains,0,32 kB
public,reward_point_ranges,5,32 kB
public,app_settings,1,32 kB
public,loyalty_user_promos,0,32 kB
auth,saml_providers,0,32 kB
auth,webauthn_challenges,0,32 kB
realtime,subscription,0,32 kB
auth,webauthn_credentials,0,32 kB
public,store_supplier_batch_orders,0,32 kB
public,store_order_economics,0,24 kB
vault,secrets,0,24 kB
auth,oauth_clients,0,24 kB
public,loyalty_global_promos,0,24 kB
auth,oauth_client_states,0,24 kB
storage,buckets_analytics,0,24 kB
realtime,schema_migrations,81,24 kB
public,store_promos,0,24 kB
auth,audit_log_entries,0,24 kB
public,store_supplier_batches,0,24 kB
auth,schema_migrations,77,24 kB
auth,mfa_challenges,0,24 kB
storage,vector_indexes,0,24 kB
auth,mfa_amr_claims,0,24 kB
storage,s3_multipart_uploads,0,24 kB
auth,instances,0,16 kB
storage,buckets_vectors,0,16 kB
public,store_special_orders,0,16 kB
storage,s3_multipart_uploads_parts,0,16 kB
realtime,messages,0,0 bytes
