table_schema,table_name,constraint_name,constraint_type,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
auth,audit_log_entries,16494_16525_2_not_null,CHECK,null,null,null,null
auth,audit_log_entries,16494_16525_5_not_null,CHECK,null,null,null,null
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY,id,null,null,null
auth,custom_oauth_providers,16494_64611_10_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_11_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_12_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_13_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_16_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_1_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_23_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_24_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_25_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_2_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_3_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_4_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_5_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_6_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_7_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_8_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,16494_64611_9_not_null,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_client_id_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_discovery_url_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_identifier_format,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_issuer_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_name_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_oauth2_requires_endpoints,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_oidc_discovery_url_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_oidc_issuer_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_oidc_requires_issuer,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_provider_type_check,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_token_url_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_token_url_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_userinfo_url_https,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_userinfo_url_length,CHECK,null,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_pkey,PRIMARY KEY,id,null,null,null
auth,custom_oauth_providers,custom_oauth_providers_identifier_key,UNIQUE,identifier,null,null,null
auth,flow_state,16494_16883_11_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_17_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_1_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_6_not_null,CHECK,null,null,null,null
auth,flow_state,flow_state_pkey,PRIMARY KEY,id,null,null,null
auth,identities,16494_16681_1_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_2_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_3_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_4_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_9_not_null,CHECK,null,null,null,null
auth,identities,identities_user_id_fkey,FOREIGN KEY,user_id,null,null,null
auth,identities,identities_pkey,PRIMARY KEY,id,null,null,null
auth,identities,identities_provider_id_provider_unique,UNIQUE,provider_id,null,null,null
auth,identities,identities_provider_id_provider_unique,UNIQUE,provider,null,null,null
auth,instances,16494_16518_1_not_null,CHECK,null,null,null,null
auth,instances,instances_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_amr_claims,16494_16770_1_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_2_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_3_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_4_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_5_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,FOREIGN KEY,session_id,null,null,null
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY,id,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE,session_id,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE,authentication_method,null,null,null
auth,mfa_challenges,16494_16758_1_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_2_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_3_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_5_not_null,CHECK,null,null,null,null
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,FOREIGN KEY,factor_id,null,null,null
auth,mfa_challenges,mfa_challenges_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_factors,16494_16745_1_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_2_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_4_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_5_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_6_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_7_not_null,CHECK,null,null,null,null
auth,mfa_factors,mfa_factors_user_id_fkey,FOREIGN KEY,user_id,null,null,null
auth,mfa_factors,mfa_factors_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_factors,mfa_factors_last_challenged_at_key,UNIQUE,last_challenged_at,null,null,null
auth,oauth_authorizations,16494_16995_11_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_12_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_14_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_15_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_1_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_2_not_null,CHECK,null,null,null,null
